1,Gun
2,Shoe
3,Stool
4,Car
5,Beehive
6,Dice
7,Heaven
8,Octopus
9,Cat
10,Bowling
11,Towers
12,Eggs
13,Pumpkin
14,Heart
15,Teeth
16,Candy
17,Soldier
18,Ballot
19,Cards
20,Tricks
21,Alcohol
22,Rifle
23,Me
24,Clock
25,Quarter
26,God
27,Clown
28,Sun
